titles,contents,type,news
[알림] 지진 피해 이웃들에게 용기를,"
			[서울신문]지난 15일 경북 포항에서 발생한 규모 5.4 지진은 우리 이웃들의 삶터를 앗아간 데다 많은 재산상의 피해를 남겼습니다. 서울신문사는 피해를 본 이웃들이 하루라도 빨리 재기할 수 있도록 한국신문협회(회장 이병규)와 전국재해구호협회와 함께 ‘경북 포항 지진 피해 이웃돕기 성금’을 모금합니다. 따뜻한 도움의 손길을 부탁드립니다.※성금접수를 원하시는 독자께서는 아래 계좌로 직접 송금해 주시면 감사하겠습니다. (신문사에서는 성금을 접수하지 않습니다)●모금기간 12월 15일까지●계좌번호 농협 106906-64-013491국민은행 556090-78-002505기업은행 001-001350-93-289신한은행 5620-28-88600396우리은행 262-751361-18-435●예금주 재해구호협회●인터넷 기부 www.relief.or.kr●휴대전화 문자 기부 #0095(1건당 2000원)●ARS 기부 060-701-1004 (한 통화 2000원)●성금 모금 안내 1544-95952017년 11월 20일한국신문협회·서울신문사▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
내일 고위 당정청 지진회의… 예산 증액 검토,"
			[서울신문]더불어민주당과 정부, 청와대가 21일 고위 당·정·청 회의를 열고 포항 지진의 후속 대책을 논의한다. 당·정·청은 내년도 예산 심사에서 지진 관련 예산을 대폭 증액하는 방안을 검토한다.19일 민주당에 따르면 행정안전부는 최근 민주당 정책위원회에 예결위 심사 과정에서 지진 관련 예산을 410억원가량 증액해야 한다는 문건을 제출했다. 행안부는 구체적으로 각 지자체에서 추진하는 공공시설물 내진 보강 사업을 지원하기 위해 380억원을 추가로 편성해 달라고 했다. 21일 회의에서는 이런 지진 대비 예산 증액을 포함해 중장기 지진 대책을 논의할 것으로 전망된다.지진 관련 예산 증액 심사에 앞서 내년도 예산안 심사의 핵심인 ‘감액 심사’가 지난 14일부터 시작됐지만 여야 간 이견으로 결론을 내리지 못하고 무더기 보류 처리되고 있다. 이 때문에 예산안 처리 기한인 다음달 2일 본회의 통과가 쉽지 않을 것으로 보인다.국회 예산결산특별위원회의 예산안조정소위원회는 오는 23일까지 감액 심사를 마무리한 뒤 27일부터 증액 심사를 하기로 했지만 진행 속도가 더디자 주말인 이날에도 회의를 열어 심사했다. 감액 심사가 속도를 내지 못하는 것은 문재인 정부의 공약을 위한 예산을 지키려는 여당과 보여 주기식 예산이라고 지적하며 한 푼이라도 깎으려는 야당이 치열하게 기싸움을 하고 있기 때문이다.지난 15일 국토교통부 소관 예산 심사에서는 문재인 정부의 주요 공약인 도시재생 뉴딜사업 예산 심사가 여야 간 고성이 오간 끝에 결국 보류됐다. 이 사업에는 올해(추경 포함)보다 1조 89억원(332.6%) 증가한 1조 3122억원이 편성됐다. 자유한국당에서는 사회간접자본(SOC) 예산이 다 축소됐는데 도시재생사업에는 대규모 예산이 편성된 데 대해 논의가 필요하다고 주장했다.1156억원이 편성된 한국형 발사체 개발사업의 경우 민주당에서는 우주산업에는 여야가 없다며 예산을 그대로 집행해야 한다고 주장했지만, 한국당은 개발이 연기됐기 때문에 감액해야 한다고 맞서면서 보류됐다.김진아 기자 jin@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
학교 건물 5곳 중 4곳 지진 위험에 노출,"
			[서울신문]2005년 이전 민간건물 ‘무방비’ 지진 관련 법안 10건 국회 낮잠
	
		
지난 15일 발생한 포항 지진으로 내진설계의 중요성이 강조되고 있지만 국내 건축물 중 내진 성능을 확보한 곳은 절반도 안 되는 것으로 나타났다. 내진 보강에는 천문학적 돈과 시간이 필요해 아직 갈 길이 멀어 보인다. 국회에 발의된 지진 관련 법안도 상당수가 상임위원회에 계류 중이다.16일 행정안전부에 따르면 2016년 말 기준 국내 공공시설물 10만 5448동 가운데 내진설계(규모 6.0~6.5 지진에도 견딜 수 있도록 설계)가 도입된 건물은 전체의 43.7%(4만 6111곳)다. 정부는 일차적으로 2020년까지 이 비율(내진율)을 54.0%까지 올린다는 목표지만 예산 문제로 달성 여부는 미지수다.특히 전국 2만 9558개 초·중·고등학교 건물 가운데 지난해 말까지 내진설계를 마친 곳은 23.1%(6829개)에 불과하다. 학교 건물 5개 중 4개는 지진 피해 위험에 노출돼 있다. 정부는 지난해 경주 지진을 계기로 유치원과 초등학교 등의 내진설계 완료 시기를 기존 2083년에서 49년을 앞당겨 2034년에 맞췄지만 여전히 10년 이상이 필요하다.민간 건축물은 더 열악해 지난해 말 기준 내진율이 35.5%다. 우리나라는 1988년부터 6층 이상 건물에 내진설계를 의무화했고 2005년부터는 이를 3층 이상으로 확대 적용했다. 박태원 단국대 건축공학과 교수는 “기준이 너무 느슨하다 보니 2005년 이전에 지어진 민간 건물에는 사실상 내진설계가 전무하다고 봐도 된다”고 지적했다.이런 상황을 개선하고자 정부는 민간 건축물 내진 보강 설계 시 지방세와 국세를 줄여 주고 건폐율과 용적률도 10% 완화해 주는 등 인센티브를 준다. 올 1월부터는 지진 보험료도 20~30% 깎아 준다. 그럼에도 이런 혜택을 적용받아 내진설계에 나서는 민간 건축주는 거의 없다. 제도 홍보가 미흡한 데다 건물 주인의 경제적 이득도 크지 않아서다.이날 국회의안정보시스템에 따르면 경주 지진 이후 국회에 접수된 ‘지진·화산재해 대책법 개정안’ 12건 중 10건이 국회 문턱을 넘지 못했다. 활성단층 지도를 5년마다 의무 갱신하도록 하는 내용의 지진 대책법 개정안(자유한국당 장제원 의원 대표발의)은 행정안전위원회에 계류 중이다.류지영 기자 superryu@seoul.co.kr장진복 기자 viviana49@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
[포항 지진 이후] 주택 5107채 파손·500억 피해… 대성아파트·원룸 철거한다,"
			[서울신문]경북 포항 지진으로 인한 피해 규모가 커지고 있다. 주택 피해는 5000채를 넘었고 이재민도 1000명을 넘어섰다. 이르면 이번주에 포항 지역이 정부의 특별재난지역으로 지정될 것으로 보인다.
	
		
내진설계 1등급 아파트 ‘X자’ 균열… 부실 시공 의혹  - 19일 경북 포항시 북구의 한 아파트 외벽 곳곳이 지진으로 금이 가 있다. 이 아파트는 2014년 준공됐고 내진설계 1등급을 받았다. 주민들은 해당 아파트에 대한 부실시공 여부를 조사해 줄 것을 요구하고 있지만 포항시 측은 금이 간 정도로는 안전에 문제가 없다는 입장을 보이고 있다.포항 연합뉴스
	
		
 - 19일 행정안전부에 따르면 포항 지진으로 인한 민간시설 피해 현황은 이날 오후 11시 기준 5569건으로 집계됐다. 주택 5107건, 상가 372건, 공장 90건 등이다. 공공시설 피해는 학교 233곳을 포함해 582건에 달했다. 현재까지 파악된 이재민은 모두 1099명이다. 인명 피해는 총 83명으로 이 가운데 68명은 귀가했고 15명은 입원 치료 중이다.포항시 재난안전관리본부는 이번 지진으로 인한 피해 규모가 500억원을 넘길 것으로 보고 있다. 심보균 행안부 차관은 “이와 관련한 정밀조사가 현재 막바지 단계”라면서 “마무리되는 대로 곧바로 특별재난지역을 선포할 예정인데 포항시 선포 기준인 90억원은 넘길 것으로 보고 있다”고 밝혔다.포항시는 흥해읍 흥해실내체육관에 있던 이재민 800여명을 1㎞가량 떨어진 인근 흥해공고와 남산초등학교로 분산 이전했다. 이재민 사생활 보호를 위해 체육관 실내에 가족형 텐트 200개와 칸막이를 설치하는 동시에 내진설계가 안 된 흥해체육관에 대한 안전 진단도 병행하기 위해서다. 공사와 안전 진단은 이틀 정도 걸릴 것으로 보인다.최웅 포항시 부시장은 “체육관은 외관상 안전한 것으로 판단되지만 (서울신문 등) 일부 언론에서 안전성 문제를 지적한 만큼 구조안전진단 전문가를 투입해 철저히 점검하겠다”고 말했다. 시는 체육관에 텐트 등이 설치되면 장기 거주 이재민을 선별해 우선 수용할 계획이다.피해 주택에 대한 안전점검을 벌인 결과 흥해읍 대성아파트와 원룸 2곳은 전파돼 철거가 불가피한 것으로 파악됐다. 현재 한국구조기술사협회와 한국시설안전공단, 경기도 기동안전점검단, 포항시건축사협회 등 전문가 55명이 18개 반으로 편성돼 정밀안전진단을 벌이고 있다.
	
		
불 꺼진 아파트  - 지난 15일 발생한 지진으로 주민들이 모두 빠져나간 경북 포항시 흥해읍 대성아파트가 불이 꺼진 채 을씨년스럽게 남겨져 있다.포항 정연호 기자 tpgod@seoul.co.kr1987년 지어져 내진설계가 되어 있지 않은 대성아파트 단지는 6개 동(5층)에 260가구, 주민 552명이 산다. 이 가운데 E동은 지난 15일 지진으로 북쪽으로 기우는 등 피해가 가장 컸다. 경북도는 우선 E동에 대한 정밀 안전점검을 실시해 포항시, 주민들과 철거 협의를 벌일 것으로 알려졌다. D, F동에도 균열이 발생하는 등 붕괴 위험이 있어 경찰이 이들 3개 동의 출입을 통제하고 있다. 3개동에는 148가구, 주민 367명이 산다. 이들은 현재 인근 대피소와 친인척 집 등지에 피신해 있는 것으로 알려졌다. 이 아파트 A, B, C동은 안전진단 결과 사용이 가능한 것으로 확인됐다.
	
		
 - 또 교육부는 강진 탓에 학교 건물에 심각한 균열이 생긴 흥해초교와 병설 유치원을 폐쇄하기로 하고 재학생 400명을 인근 학교로 분산할 예정이다. 학교 폐쇄 조치는 파손된 학교 건물을 복구할 때까지 시설을 이용하지 못하도록 하는 것이다. 경북도교육청은 포항의 초교 11곳과 중학교 4곳, 유치원 13곳 등 모두 28곳에 대한 휴업을 연장하기로 했다.한편 정부와 포항시는 지진 피해 이재민들에게 임시 거처로 한국토지주택공사(LH)의 임대주택 160채를 무료로 지원한다. 손병석 국토교통부 차관은 “현재 비어 있는 포항 소재 LH 국민임대 160가구에 이재민들이 즉시 입주할 수 있도록 온수 및 가스, 전기 공급 등 준비를 마쳤다”면서 “보증금은 받지 않고 임대료 50%는 감면할 계획이며 나머지 50% 임대료도 포항시와 경북도가 추가 지원하는 방안을 검토 중”이라고 밝혔다.포항 김상화 기자 shkim@seoul.co.kr서울 장형우 기자 zangzak@seoul.co.kr서울 오경진 기자 oh3@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
[포항 5.4 지진] 文대통령 “시험 불가능” 김부겸 보고 받고 연기,"
			[서울신문]혼란 우려 함구한 채 연기 발표문재인 대통령은 동남아 순방을 마치고 돌아오자마자 15일 오후 수석·보좌관회의를 열어 포항 지진 현장 상황을 집중 점검하고 대학수학능력시험 대책부터 숙의했다. 문 대통령은 수보회의에서 수능 연기를 염두에 두고 “(연기를 포함한) 모든 상황을 현장에서 판단하라”고 지시한 것으로 알려졌다.
	
		
전용기서 지진 보고받은 文대통령  - 7박 8일의 동남아시아 순방을 마친 문재인 대통령이 15일 서울공항에 도착한 뒤 포항 지진 대책 마련을 위한 긴급 수석·보좌관 회의를 주재하기 위해 황급히 차량에 오르고 있다. 문 대통령은 지진 발생 직후 공군 1호기에서 국가위기관리센터로부터 지진 상황을 보고받았다.안주영 기자 jya@seoul.co.kr문 대통령은 현장에 내려가 있던 김부겸 행정안전부 장관으로부터 “도저히 시험을 치를 수 없는, 연기할 수밖에 없는 상황”이라는 보고를 받자마자 빠른 판단을 내려 수능 연기를 결정했다. 김 장관은 오후 5시 45분 수보회의가 끝나고 6시 30분~7시 30분 수능 연기가 불가피한 현장 상황 등을 문 대통령에게 보고했다.이 시간 청와대 측은 출입기자들에게 수보회의 결과를 브리핑하고 있었다. 청와대 관계자는 브리핑에서 “발생할 수 있는 모든 상황을 상정해 점검하고 토의했다”며 “통상적으로 15일 동안 여진이 있을 수 있는데 비록 규모가 작더라도 간단치 않은 상황”이라고 말했다.수능과 관련한 대책도 중점 논의됐다. 지진 발생 시 교육부 매뉴얼은 ‘가·나·다’ 등급으로 나뉜다. ‘가’ 등급은 시험지를 덮고 기다리는 것, ‘나’ 등급은 책상 밑으로 피하는 것, ‘다’ 등급은 시험을 중단하고 건물 밖으로 나가는 것이다. 이 관계자는 “현 교육부 매뉴얼로 다 커버할 수 있겠으나 학교장이 재량으로 결정할 경우 큰 혼란이 생길 수 있다고 판단했다”고 밝혔다. 이에 청와대는 교육부 당국자를 포항으로 파견해 수능을 직접 관리하게 하려 했으나, 이 정도로는 대처하기가 어렵다고 최종 판단을 내렸다. 여진으로 듣기평가 중 정전될 경우, 깨진 유리창으로 찬바람이 들어와 추워서 시험을 망치는 경우 등 모든 상황을 고려했다.청와대 관계자는 “아직 결정이 내려지지 않은 상황에서 언론을 통해 ‘모든 상황을 염두에 두고 현장에 가서 판단하라’는 대통령 말을 알렸다가는 큰 혼란이 빚어질 수 있었다. 그래서 함구한 채 최종 결정이 내려지길 기다려 김상곤 교육부 장관이 수능 연기를 발표한 것”이라고 설명했다.이현정 기자 hjlee@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
"[포항 지진 이후] “집안 금 갔는데 조사공무원 안 나와, 살아도 되나… 불안해서 잠 못 이뤄”","
			[서울신문]시청 접수 민원 400여건 달해 시내 제외 외곽지역 아예 소외 市 “범위 넓어 시간 걸려” 해명경북 포항에서 규모 5.4의 지진이 일어난 지 5일이 지났지만 당국이 아직 일반 주택 등에 대한 피해 조사를 하지 않는다고 주민들이 분통을 터뜨리고 있다.19일까지 주민들이 포항시 본청에 요청한 안전점검 민원은 400여건에 이른다. 포항시 관계자는 “시청뿐만 아니라 동사무소로 들어오는 것까지 합치면 점검 요청 민원 건수는 파악한 것보다 더 많을 것”이라고 했다. 시에 민원이 들어오면 한국시설안전공단 직원, 민간전문가 등으로 구성된 점검단이 현장에 나가 상태를 파악한다.안전점검을 요청한 두호동의 한 아파트는 지하 주차장·계단 벽, 외관 등 곳곳에 금이 가 있다. 이 아파트의 한 가구는 화장실 변기 주변 바닥이 깨져 있고 베란다 천장, 벽 등에 균열이 나 있는 상태다. 거실과 안방 등에는 옷, 책 등이 수북이 쌓여 있다. 주인 A씨는 “이사를 하기 위해 짐을 정리하던 중 지진이 나 곳곳에 균열이 생겼다”며 “많이 불안한데 그냥 살아도 되느냐”고 물었다.점검단은 맨눈으로 확인한 결과 당장 사용을 제한해야 하는 수준은 아니라는 답변을 내놨다. 점검단 관계자는 “아파트 전체적으로 큰 문제는 없으나 균열이 난 탓에 누수 문제가 있을 수 있어 중기적으로 외벽을 보수해야 한다”며 “단 경비실은 긴급히 손봐야 할 것 같다”고 말했다.그나마 시내에 있는 이 집은 점검단이라도 나오지만, 포항 외곽이나 변두리 지역은 아예 소외당하고 있다. 흥해읍 북송리의 한 주민은 “흥해읍 여러 마을이 피해를 봤는데 아직 공무원이 한 명도 모습을 보이지 않는다”며 “우리 마을뿐 아니라 다른 마을도 그렇다”고 말했다. 200가구 정도가 사는 이 마을에는 반쯤 부서지거나 기울어진 집이 여러 채에 이른다. 마을 이장이 주민들에게서 지진 피해 신고서를 받은 결과 벌써 100가구 이상이 관련 서류를 냈다. 여러 마을 중에서도 흥해읍 매산리는 피해가 심각한 곳이다. 이 마을에는 보일러실 벽이 무너져 기름이 떨어져 가는데도 이를 넣을 수 없어 추위 속에 불안해하는 60대 할머니와 70대 할아버지가 산다. 할아버지가 거동이 불편해 대피소로 거처를 옮기지도 못해 두 사람은 복구 손길을 애타게 기다리고 있다.포항시 관계자는 “공무원들이 현장을 살펴보고 있지만 한정된 인력에 피해가 크고 범위도 넓어 시간이 걸리고 있다”고 해명했다.포항 한찬규 기자 cghan@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
[포항 5.4 지진] 지진 사망·상해땐 보상… 물적 피해는 쉽지 않아,"
			[서울신문]경북 포항 지진으로 건물과 자동차는 물론 인명피해까지 발생하면서 보험사 보상은 어떻게 될지 관심이 쏠린다. 지진으로 다치거나 사망했을 경우에는 보험금이 지급되지만, 물적 피해는 천재지변 면책 조항을 적용받아 보상받을 수 없는 경우가 많다.15일 보험업계와 보험연구원 등에 따르면 지진 관련 피해는 풍수해보험, 재산종합보험, 화재보험의 지진담보 특약, 상해·실손보험 등에서 보장하고 있다. 풍수해보험은 지진을 비롯해 태풍, 호우, 홍수, 강풍 등의 직접적인 결과로 입은 손해를 보상하는 보험이다. 보험료 절반 이상을 정부와 지방자치단체가 지원하는 정책성 보험이다. 삼성화재, 현대해상, DB손해보험, KB손해보험, NH농협손해보험 등 5개사가 관련 상품을 운용하고 있다.민간 보험인 재산종합보험은 지진을 포함해 낙뢰, 홍수, 폭발 등 모든 리스크에 담보를 제공한다. 현대해상·KB손보·한화손해보험 등 대부분 보험사에서 판매한다. 아울러 화재보험에서 기본 계약에서는 피해를 보상하지 않지만, 관련 특약을 통해 지진 피해를 보장하고 있다. 지진에 대피하려다가 다친 경우라면 상해보험이나 실손의료보험이 치료비를 보상해준다. 지진으로 숨졌을 경우 사망보험에서 보험금이 지급된다.그러나 자동차 손상은 자동차보험을 들었더라도 보상해주지 않는다. 홍수와 태풍을 제외한 천재지변은 면책되기 때문이다. 단 차량 운행 중 지진으로 인해 다른 사람을 다치게 했을 경우에는 일정 한도 내에서 보상이 가능하다.이두걸 기자 douzirl@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
[포항 5.4 지진] 경주 지진으로 無名단층에 쌓인 응력 분출… 또 큰 지진 가능성,"
			[서울신문]지난해 9월 11일 경북 경주에서 규모 5.8의 지진이 발생한지 14개월여 만인 15일 오후 2시 29분쯤 포항에서 규모 5.4의 지진이 발생했다. 한반도에서 일어난 지진 중 역대 두번째 규모다.
	
		
전문가들은 그동안 비슷한 규모의 추가 지진이 일어날 것이라고 예상은 하면서도 경주지진의 여진으로 지진을 일으키는 힘인 응력이 해소되고 있는 것으로 보고 있었다. 이 때문에 포항지진의 원인에 대한 궁금증이 커지고 있다.지난 9월 경주지진 1년을 맞아 열린 국제세미나에서 지진 전문가들은 경주지진은 경주 남서쪽을 지나는 양산단층과 그보다 서쪽에 떨어진 모량단층 사이 지하에 있는 무명단층이 수평 방향으로 북북동쪽과 남남서쪽으로 미끄러지면서 일어났다고 의견을 모았다.이번 포항지진 역시 양산단층과는 다른 지금까지는 알려지지 않은 무명(無名)단층에서 발생한 것으로 보고 정확한 원인을 확인하기 위해 한국지질자원연구원 과학자들이 현장에 급파된 것으로 알려졌다.이미선 기상청 지진화산센터장은 이날 기상청에서 열린 긴급 브리핑에서 “경주 지진이 양산단층에서 발생했는데, 이번 지진은 양산단층의 지류라고 할 수 있는 장사단층에서 발생한 것으로 추정된다. 둘 간의 상관관계는 추후 정밀 분석해야 한다”면서 “경주 지진이 동일본 대지진의 여파라는 학계의 의견이 있다. 이번 지진과 경주 지진, 동일본 대지진과의 연관성은 분석이 필요하다”고 말했다.홍태경 연세대 지구시스템과학과 교수는 “지난해 발생한 경주지진의 여파로 진앙지의 북동, 남서방향으로 응력이 누적되고 있다가 이번에 한꺼번에 배출된 것”이라고 강조했다. 이번 포항지진으로 인해 발생한 응력이 다시 진앙지의 북동, 남서 방향으로 쌓이고 있기 때문에 경주와 포항 사이 지역에서 또 다시 큰 지진이 날 가능성이 높아졌다”고 말했다.김영석 부경대 교수도 “지난해 경주 지진이 일본 후쿠시마 대지진과 구마모토 대지진의 영향으로 한반도의 단층에 축적됐던 힘이 풀리면서 일어났다면 이번 지진은 경주 지진의 영향을 받았다”며 “역사 지진의 사례들을 살펴보면 앞으로 최소 3년은 한반도에서 크고 작은 지진들이 되풀이 되면서 누적됐던 응력이 풀리게 될 것으로 예상할 수 있다”고 말했다.포항지진의 여파로 여진도 상당기간 지속될 것으로 전문가들은 전망하고 있다. 미국 캘리포니아 지역의 샌안드레아스 단층처럼 큰 단층에서는 규모 5~6 정도의 지진이 발생하더라도 한꺼번에 응력이 배출되기 때문에 여진이 3~4개월 정도로 그친다. 하지만 경주지진의 경우 오랫동안 쌓여있던 응력이 서서히 소멸되는 형태로 나타나기 때문에 지난 9일 기준으로 1년 넘게 640회 여진이 지속되고 있다. 이번에 발생한 포항지진 역시 경주지진 때와 비슷한 수준의 여진이 지속될 것이라고 전문가들은 전망했다.유용하 기자 edmondy@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
‘포항 강진’ 사상초유 수능 연기… 수험생 대혼란,"
			[서울신문]김상곤 “포항 10곳 시험장 균열…학생 안전·공정 최우선 고려”  靑 “文대통령이 최종 연기 결정”  교육부, 오늘 전형 일정 발표
	
		
건물 외벽 와르르… 마치 폭격 맞은 듯  - 15일 오후 경북 포항시의 한 마트 건물 외벽이 지진 충격으로 무너져 내리며 나란히 주차돼 있던 승용차 세 대를 덮쳤다. 이날 오후 2시 29분쯤 포항시 북구 북쪽 9㎞ 지점에서 규모 5.4 지진이 발생한 데 이어 본진보다 1㎞쯤 남쪽 부근에서 규모 4.3에 이르는 여진이 이어졌다.경상일보 제공경북 포항에서 발생한 규모 5.4의 지진으로 16일로 예정됐던 2018학년도 대학수학능력시험이 일주일 연기됐다. 천재지변 탓에 수능이 연기된 것은 1993년 시험이 치러진 이후 처음 있는 일이다.김상곤 사회부총리 겸 교육부 장관은 15일 오후 8시 20분 정부서울청사에서 긴급 기자회견을 열고 “학생의 안전을 최우선으로 고려해 공정성과 형평성 측면에서 판단해 시험을 23일 시행하기로 했다”고 밝혔다. 김 부총리는 “경북 포항에서 지진으로 상당한 피해가 있었고, 지속적 여진으로 포항 시민과 많은 학생들이 귀가를 못 하고 있다”면서 “포항 지역 수능 시험장 14곳을 점검한 결과 다수 학교에서 피해가 보고돼 행정안전부와 경상북도교육청이 수능 연기를 건의했다”고 덧붙였다. 경북교육청에 따르면 포항고 등 진앙에서 가까운 북부 지역 학교 10곳에서 시험장 벽 등에 균열이 발생했다.이번 수능 연기 결정은 문재인 대통령이 최종 지시했다. 청와대 핵심 관계자는 “포항 현장에 김부겸 행안부 장관과 류희인 행안부 재난안전관리본부장이 내려가 보니 도저히 시험을 치를 수 없는, 연기할 수밖에 없는 상황이어서 대통령께 보고했다”면서 “이에 대통령이 빠른 판단을 내려 수능 연기를 결정한 것”이라고 설명했다. 이어 “수능 연기는 매우 중대한 일이어서 현장 상황이 종합될 때까지 기다려 최종 결정을 내렸다”면서 “오후 5시 45분 수석·보좌관회의가 끝나고 6시 30분부터 7시 30분 사이에 보고가 이뤄졌다”고 밝혔다.교육부는 확보한 1주일 동안 포항 지역을 중심으로 일주일간 학교 안전진단을 실시하고 고사장 변경도 추진한다. 건물 안전 문제는 물론 자신의 고사장을 아는 수험생들의 부정행위 시도를 막기 위한 조치다. 김 부총리는 “여진이 없는 지역으로 대체 시험장 마련도 고려하고 있다”면서 “포항 이외의 지역이 될 수도 있다”고 말했다. 교육부는 수능 연기와 상관없이 수능과 관련해 휴교 또는 등교시간 조정이 이뤄진 학교는 그대로 따르면 된다고 밝혔다.이번 수능 연기 결정으로 수험생과 학부모들이 큰 혼란을 겪고 있는데다 성적 통지일 등 남은 대입 일정에도 변화가 불가피하다. 수능 채점에 20일가량이 소요되는 점을 고려하면 12월 6일로 예정됐던 성적 통지일도 연기될 가능성이 크다. 교육부는 향후 대입전형 일정을 16일 발표한다.유대근 기자 dynamic@seoul.co.kr이현정 기자 hjlee@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
지진 잦아지고 세지는데…내년 지진 예산은 503억 ‘싹둑’,"
			[서울신문]행안부 335억 신청, 기재부 20억만 반영 “이래선 2020년 내진율 54% 어려워”정부 부처의 내년도 지진 방재 관련 전체 예산이 올해보다 500억원 이상 줄어들었다는 지적이 제기됐다.
	
		
뜯겨나간 벽… 헬멧 쓰고 복구작업  - 17일 지진 피해를 본 경북 포항시 한동대에서 교직원들이 건물 내부로 들어가 복구 작업을 하고 있다.포항 정연호 기자 tpgod@seoul.co.kr17일 국회 예산정책처가 행정안전부와 국토교통부, 기상청 등 각 부처의 지진 방재 예산을 종합한 결과 2018년도 지진 방재 예산(안)은 3165억 3700만원 수준인 것으로 나타났다. 올해 3668억 5300만원보다 503억원 이상 줄어든 규모다.지진 방재 예산은 지진 대비 인프라 구축과 지진 조기 경보체계 강화, 내진 보강 사업 등으로 이뤄져 있다. 이 가운데 가장 큰 비중을 차지하는 사업은 내진 보강으로 내년도에는 2466억 6200만원이 배정됐다. 전체 예산의 77% 수준이지만 올해 내진 보강 예산(2877억 9800만원)과 비교하면 오히려 411억원 이상 줄었다. 지진 조기 경보체계 예산도 올해보다 105억원 이상 감소해 내년에는 184억원이 배정된 것으로 나타났다.이에 대해 기획재정부는 예산정책처의 추계는 지난 9월초 잠정집계한 규모로, 학교시설 내진보강 예산이 50억원에서 500억원으로 늘어나는 등 최종 집계된 예산은 전년 대비 1360억원 증가했다고 밝혔다.정부부처의 사전협의 과정에서 각 부처가 확대나 우선확대 대상이라고 제출한 지진 관련 사업의 경우도 실제 국회 제출 과정에서 증가폭이 대폭 감소하는 행태에 대한 지적도 제기된다.자유한국당 소속 유재중 행정안전위원장에 따르면 행안부가 공공시설물 내진 보강을 위해 당초 335억원을 신청했지만 기획재정부는 20억 3000만원만 반영했다. “지자체 재정을 고려해야 한다”는 행안부 주장에 기재부는 “내진 보강 사업은 지자체 예산으로 충당해야 한다”는 논리로 예산을 반영하지 않았다는 것이 유 위원장 측 설명이다. 유 위원장은 “정부는 2020년까지 내진율 54%를 조기달성하겠다고 발표했지만 예산당국의 무관심과 안일한 태도로 달성이 어려울 것”이라고 말했다.한편 국회 환경노동위원회는 이날 기상청의 지진 관련 예산이 합리적인 수준이라고 보고 약 178억원에 달하는 정부안을 그대로 확정했다. 기상청 예산안은 정부안에서 35억 6700만원이 늘어난 4005억 8100만 원으로 의결됐다.안석 기자 sartori@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
