"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"South Sudan | I’m impressed with efforts made under the leadership of Honorable Deng, to increase vaccine delivery… https://t.co/WyZFPQFFxD",FALSE,0,NA,2022-10-31 16:45:40,TRUE,NA,"1587123649563197440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TedChaiban",1,FALSE,FALSE,NA,NA
"@ediggin1 @gotoml @punkybrewsters1 Millions got vaccinated.
Did you get Polio - No.
Did you get Measles - No.
Did y… https://t.co/erDALUwffe",FALSE,1,"ediggin1",2022-10-31 16:44:34,TRUE,"1586673598999449600","1587123375683428354","881693516736241664","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RobertSheen15",0,FALSE,FALSE,NA,NA
"Happy Halloween! Check out today's vaccine locations at https://t.co/Sgz6eqz48M. https://t.co/HM2TWqtAWw",FALSE,0,NA,2022-10-31 16:42:05,FALSE,NA,"1587122749012443136",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","womenhivworld",0,FALSE,FALSE,NA,NA
"OTTAWA — The commander of the Canadian Armed Forces was warned by his senior legal and medical advisers last year t… https://t.co/UG8pJbNH8s",FALSE,0,NA,2022-10-31 16:41:39,TRUE,NA,"1587122642263351296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Deus_UrbisLux",0,FALSE,FALSE,NA,NA
"⁦@POTUS⁩ ⁦@CDCgov⁩ ⁦@CDCDirector⁩ ⁦@WhiteHouse⁩ why no funding? We are disabled and dying. 

Why the U.S. Doesn’t H… https://t.co/REcQCxZIuW",FALSE,0,NA,2022-10-31 16:40:56,TRUE,NA,"1587122462025666561",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lcracraft",0,FALSE,FALSE,NA,NA
"@mhop_19 @UtahPigBus Uhhhhh nope. The vaccine prevented me from having to fight for my life in the hospital, instea… https://t.co/qa1zHuuAmV",FALSE,0,"mhop_19",2022-10-31 16:38:59,TRUE,"1587120594952372225","1587121969727623170","2882523734","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClintoPete",0,FALSE,FALSE,NA,NA
"Editor-in-Chief of Renowned Science Journal Ousted for Publishing Science Questioning COVID-19 Vaccine Safety https://t.co/XETr0TNNH5",FALSE,0,NA,2022-10-31 16:37:50,FALSE,NA,"1587121680702476293",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","nisopl",0,FALSE,FALSE,NA,NA
"The Covid-19 vaccine is not safe.",FALSE,0,NA,2022-10-31 16:37:36,FALSE,NA,"1587121620023492608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FreelyBased",0,FALSE,FALSE,NA,NA
"@DrJamesOlsson Use the MA analysis style. See Exhibit F, here: https://t.co/S6i5LDYYjx

Federal lawsuit alleges fra… https://t.co/TyFxNmkMGQ",FALSE,0,"DrJamesOlsson",2022-10-31 16:37:27,TRUE,"1587091543193698304","1587121585445638145","1455311856092995585","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pjmalone413",0,FALSE,FALSE,NA,NA
"Getting vaccinated is the best way we can protect ourselves from COVID-19.
If you are eligible for your next COVID-… https://t.co/qKHkUOVsl1",FALSE,0,NA,2022-10-31 16:37:00,TRUE,NA,"1587121469359763456",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ULHospitals",0,FALSE,FALSE,NA,NA
"Drop boxes didn't exist in Georgia prior to 2020's election, they were a COVID-19 measure. With vaccine and post-pa… https://t.co/CQfJkeFeY1",FALSE,32,"ZaidJilani",2022-10-31 16:36:17,TRUE,"1587120789366751232","1587121288623149058","66533920","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZaidJilani",3,FALSE,FALSE,NA,NA
"@Dimpho_Mokwala I went to ZCC church yesterday they wanted a vaccine card before i enter. Everyone must show proof… https://t.co/xNToNwfnTo",FALSE,0,"Dimpho_Mokwala",2022-10-31 16:34:33,TRUE,"1586810633470857216","1587120855691272192","1520331897385230337","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","winansSA",1,FALSE,FALSE,NA,NA
"FDA Silent On Covid-19 Vaccine Safety Signals https://t.co/EzqhmxqZKG via @ThePulse_one",FALSE,0,NA,2022-10-31 16:34:07,FALSE,NA,"1587120743095074820",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","timmins316",0,FALSE,FALSE,NA,NA
"@ClintoPete @UtahPigBus Waiting for the conspiracy to become reality... is that what you mean?  I bet you thought t… https://t.co/bXJqo49Yp5",FALSE,0,"ClintoPete",2022-10-31 16:33:31,TRUE,"1587118310977458178","1587120594952372225","1467985692122771456","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mhop_19",0,FALSE,FALSE,NA,NA
"If you are pregnant, COVID-19 and flu can cause serious harm to you and your baby. 

Vaccination is free and offers… https://t.co/AyEyB4l8sg",FALSE,0,NA,2022-10-31 16:33:00,TRUE,NA,"1587120463163011072",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","UKHSA_EastMids",0,FALSE,FALSE,NA,NA
"@9NEWS I wonder when he last received his Covid-19 vaccine? https://t.co/sQ68ZsuKrk",FALSE,0,"9NEWS",2022-10-31 16:32:03,FALSE,"1587116200261308424","1587120223345262592","19032473","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BreakingNewsFi2",0,FALSE,FALSE,NA,NA
"@pmcroke1 @Myers_UK Vaccines provide immunisation. Covid 19 shots do not. Name another vaccine that doesn't provide immunisation.",FALSE,0,"pmcroke1",2022-10-31 16:31:59,FALSE,"1587094688720470017","1587120207281135618","1459255760001581056","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","polecatpiper",0,FALSE,FALSE,NA,NA
"Uzbekistan receives first batch of Johnson &amp; Johnson vaccine against COVID-19 https://t.co/1E1Y4PDpEL #uzb",FALSE,1,NA,2022-10-31 16:31:57,FALSE,NA,"1587120200377405440",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","UzDailycom",0,FALSE,FALSE,NA,NA
"@StandardKenya I will avoid the GMO foods as hard as I have avoided the Covid-19 vaccine. Keeping it naturally.",FALSE,0,"StandardKenya",2022-10-31 16:31:28,FALSE,"1587113543484280834","1587120076775428096","53037279","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pingache",0,FALSE,FALSE,NA,NA
"Sweet! COVID-19 boosters now protect against newer Omicron variants. Find out if you’re eligible and where to get t… https://t.co/ztJhxeiv4O",FALSE,1,NA,2022-10-31 16:30:00,TRUE,NA,"1587119710604349441",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","UtahCoronavirus",0,FALSE,FALSE,NA,NA
"@westmm4028 @JamieSale No it's not graphene, but you're splitting hairs over the name.

https://t.co/61CuEKFQZr",FALSE,0,"westmm4028",2022-10-31 16:29:50,FALSE,"1587102014131302401","1587119668199886851","890784463784783872","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cryptoz52196440",0,FALSE,FALSE,NA,NA
"@CTVNews Might want to add Death as well!
https://t.co/pbWfCONR4M",FALSE,0,"CTVNews",2022-10-31 16:29:48,FALSE,"1587064405489065985","1587119657529577474","203123011","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CraigMartinPPC",0,FALSE,FALSE,NA,NA
"@PTFund was honored to work with @SEND_GHANA to enhance equity and good governance in Ghana's National Deployment a… https://t.co/iFMO4P4rsE",FALSE,0,"PTFund",2022-10-31 16:29:28,TRUE,NA,"1587119576407588864","1339795584","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PTFund",0,FALSE,FALSE,NA,NA
"@JamieSale It's not graphene, but the nano particle used is suspected to be what's causing severe reactions to the… https://t.co/OBzH73EVGa",FALSE,0,"JamieSale",2022-10-31 16:28:33,TRUE,"1587087860309843968","1587119345716629507","195717987","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cryptoz52196440",0,FALSE,FALSE,NA,NA
"@leelasik @thomascook416 You seem to think the Covid-19 vaccines are unique in their lack of evidence.

The same go… https://t.co/hWW1GwRLNT",FALSE,2,"leelasik",2022-10-31 16:28:29,TRUE,"1587118165569306624","1587119325466402817","3236732524","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BreakingNewsFi2",1,FALSE,FALSE,NA,NA
"LLP 225:COVID-19 Vaccine Approved For Kids https://t.co/U7N4dLuidt #LunchLearnPod  #podsincolor #somedocs https://t.co/1IPtH3FH7p",FALSE,0,NA,2022-10-31 16:27:09,FALSE,NA,"1587118991985840133",NA,"<a href=""https://coschedule.com"" rel=""nofollow"">CoSchedule</a>","LunchLearnPod",0,FALSE,FALSE,NA,NA
"@JordanB4815 @Wishitwasthewa1 @MatejMacario @liz_brown2610 @Doctorfromliny Since it isn't a vaccine at all, (does n… https://t.co/7XdG4CwgOG",FALSE,0,"JordanB4815",2022-10-31 16:26:32,TRUE,"1587108607908364291","1587118834737086465","584902759","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrueAmerican080",0,FALSE,FALSE,NA,NA
"@thecoastguy The 'investigation' was already open with the  Covid 19 Inquiry and ongoing research and monitoring.… https://t.co/jxwoRIbpVT",FALSE,0,"thecoastguy",2022-10-31 16:26:29,TRUE,"1587056368451739648","1587118822246465537","924541717944131584","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AndrewMackinto4",0,FALSE,FALSE,NA,NA
"Pregnant women are at higher risk of getting seriously ill from COVID-19 or the flu.
Don't wait until the baby arri… https://t.co/fgFAbmL9P2",FALSE,0,NA,2022-10-31 16:25:14,TRUE,NA,"1587118509946855426",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Warwickshire_CC",0,FALSE,FALSE,NA,NA
"Pregnant women are at higher risk of getting seriously ill from COVID-19 or the flu.
Don't wait until the baby arri… https://t.co/fNN82uV6Lx",FALSE,0,NA,2022-10-31 16:25:14,TRUE,NA,"1587118509804474370",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","WCCPublicHealth",0,FALSE,FALSE,NA,NA
"How back in 2021 @CTVNews explained changes in menstrual cycles following vaccination:

""The sheer relief of being… https://t.co/jiVPcGmTly",FALSE,28,NA,2022-10-31 16:23:54,TRUE,NA,"1587118174591401985",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KoenSwinkels",17,FALSE,FALSE,NA,NA
"URGENT! Tell the D.C. Council to Stop the COVID-19 Vaccine Mandate for School Children! https://t.co/DvaXwuISwN",FALSE,0,NA,2022-10-31 16:23:23,FALSE,NA,"1587118045750755328",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","BellinghamNews_",0,FALSE,FALSE,NA,NA
"The Covid-19 Vaccine directly Killed/Injured more people than the January 6th 2020 insurrection.",FALSE,0,NA,2022-10-31 16:22:25,FALSE,NA,"1587117802141294592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dastashmaster",0,FALSE,FALSE,NA,NA
"@Kit_Yates_Maths FDA urged to publish follow-up studies on covid-19 vaccine safety signals
BMJ 

https://t.co/0hFPkih0n7",FALSE,0,"Kit_Yates_Maths",2022-10-31 16:21:09,FALSE,"1586997653497339904","1587117479947640833","412548718","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jenn030303",0,FALSE,FALSE,NA,NA
"Don’t let these two get in your way. 💉 💪 

We can all keep Manchester moving this winter with a free Covid-19 autum… https://t.co/L5OfJgs0IA",FALSE,0,NA,2022-10-31 16:21:04,TRUE,NA,"1587117460037292032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MCCCityCentre",0,FALSE,FALSE,NA,NA
"This webinar includes information on the COVID-19 boosters, especially information on the updated booster that targ… https://t.co/4eD8wnrysk",FALSE,0,"tayohelp",2022-10-31 16:20:17,TRUE,"1587117260501549056","1587117263521554432","1304856215671857157","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tayohelp",0,FALSE,FALSE,NA,NA
"@RepThomasMassie NONE   
We need high level Tribunals/Trials for the CEOs and their Boards of Covid 19 Vaccine Big… https://t.co/WBrKpSxVwc",FALSE,0,"RepThomasMassie",2022-10-31 16:20:13,TRUE,"1587076271669903360","1587117246874357764","975200486","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jr_pettaman",0,FALSE,FALSE,NA,NA
"Why U.S. Doesn’t Have a Nasal Vaccine for COVID-19 https://t.co/tdBPsl5UkM",FALSE,0,NA,2022-10-31 16:19:39,FALSE,NA,"1587117102816690178",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Emma_2le",0,FALSE,FALSE,NA,NA
"Why U.S. Doesn’t Have a Nasal Vaccine for COVID-19 https://t.co/IOYBEHQBrP",FALSE,0,NA,2022-10-31 16:19:33,FALSE,NA,"1587117079790080004",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Olivia7zx",0,FALSE,FALSE,NA,NA
"This webinar includes information on the COVID-19 boosters, especially information on the updated booster that targ… https://t.co/CWtHgUoE7Q",FALSE,0,"FylproMabuhay",2022-10-31 16:18:49,TRUE,"1587116890278739968","1587116893437153283","3906196813","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FylproMabuhay",0,FALSE,FALSE,NA,NA
"CDC&amp;apos;s COVID-19 &amp;quot;vaccine&amp;quot; decision means HUGE wins for Republicans https://t.co/KeQ3QHYKWl",FALSE,0,NA,2022-10-31 16:17:08,FALSE,NA,"1587116471544647685",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ghostdogg9991",0,FALSE,FALSE,NA,NA
"@dacerace @idsavage @SBoona @beverleyturner @georgegrylls @thetimes First step in seeing things rationally. Yes hea… https://t.co/3iLH0KZO1K",FALSE,1,"dacerace",2022-10-31 16:15:43,TRUE,"1587104662582337538","1587116114655563778","63125262","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TPhillykeys",0,FALSE,FALSE,NA,NA
"2 years later, we finished our Covid-19 vaccine trial!!!! https://t.co/1yRKEvu47b",FALSE,7,NA,2022-10-31 16:13:12,FALSE,NA,"1587115479004598273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaylayoungforwv",0,FALSE,FALSE,NA,NA
"@elonmusk @S58728748 @paulg Are we allowed to oppose the Covid-19 vaccine mandates freely on twitter now?",FALSE,41,"elonmusk",2022-10-31 16:12:38,FALSE,"1587114234059624448","1587115338801434625","44196397","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","dchomecoming",3,FALSE,FALSE,NA,NA
"""The new “prime” and “spike” approach may help prevent breakthrough infections of vaccinated individuals by bolster… https://t.co/4pP54ms0EO",FALSE,0,NA,2022-10-31 16:12:31,TRUE,NA,"1587115307449176064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vilavaite",0,FALSE,FALSE,NA,NA
"Southwest District Health will be hosting a free COVID-19 vaccine clinic every Tuesday at the Caldwell location. Pf… https://t.co/JHcl1M5FED",FALSE,0,NA,2022-10-31 16:12:13,TRUE,NA,"1587115232404570117",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SWDHIDAHO",0,FALSE,FALSE,NA,NA
"Get Vaxxed So You Can Get Some Rest: A recent study showed that up to 60% of people who get COVID-19 have symptoms… https://t.co/9JKGyZ0jJz",FALSE,3,NA,2022-10-31 16:12:08,TRUE,NA,"1587115213870055425",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","_DCHealth",3,FALSE,FALSE,NA,NA
"@JoveMarie2 It’s a sin.……

https://t.co/QsnE5GcH9b https://t.co/XaT1kVrDIT",FALSE,2,"JoveMarie2",2022-10-31 16:11:30,FALSE,"1587102576167866368","1587115051378479107","1087871432820969474","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Vonboo5",1,FALSE,FALSE,NA,NA
"Was still raging. Over 
1 million Americans had died from COVID-19. 
There was no plan in place to get COVID-19 vac… https://t.co/xj3mLtI8wp",FALSE,0,"KimberlyKenney4",2022-10-31 16:11:23,TRUE,"1587115022584512513","1587115023859679233","4491751997","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KimberlyKenney4",0,FALSE,FALSE,NA,NA
"Our team is out connecting with community members and providing free flu shots and Bivalent COVID-19 Booster vaccin… https://t.co/zVZTzluZYh",FALSE,0,NA,2022-10-31 16:10:24,TRUE,NA,"1587114778211893250",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WellShareIntl",0,FALSE,FALSE,NA,NA
"Suspension of supply of COVID-19 vaccine (COVAXIN®) https://t.co/FpuhTUzTFu",FALSE,0,NA,2022-10-31 16:10:03,FALSE,NA,"1587114687719960577",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","sfeldman0",0,FALSE,FALSE,NA,NA
"obsession with extreme right-wing conspiracy theories including debunked claims about the Covid-19 vaccine and QAno… https://t.co/m4BNtgjmmW",FALSE,0,"truromanticlife",2022-10-31 16:08:30,TRUE,"1587114295199866882","1587114296281952256","782603330","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","truromanticlife",0,FALSE,FALSE,NA,NA
"Bulgaria to offer Valneva vaccine against Covid-19 https://t.co/C4zzW7lJSp via @TheSofiaGlobe",FALSE,0,NA,2022-10-31 16:08:20,FALSE,NA,"1587114254410436609",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheSofiaGlobe",0,FALSE,FALSE,NA,NA
"How have you been enjoying the Halloween festivities?🎃😃 We've had some great events in town over the weekend, and w… https://t.co/OmIXwhGhh4",FALSE,2,NA,2022-10-31 16:07:17,TRUE,NA,"1587113990806769667",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LEIWorcester",0,FALSE,FALSE,NA,NA
"🛑If you haven't done so already ⬇️🛑
FDA urged to publish follow-up studies on covid-19 vaccine safety signals
BMJ 

https://t.co/0hFPkih0n7",FALSE,1,NA,2022-10-31 16:06:34,FALSE,NA,"1587113810434859008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jenn030303",1,FALSE,FALSE,NA,NA
"USA CDC terror &amp; bloody shame -- With Great Courage, Dr. McCullough has warned Americans and abroad of the dangers… https://t.co/i4qvq3XcSh",FALSE,1,NA,2022-10-31 16:05:53,TRUE,NA,"1587113639341064192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KacoBlokland",0,FALSE,FALSE,NA,NA
"If the covid vaccine lasts only 4-6 months (as posted on the WHO website) what benefit does it have to include it i… https://t.co/pXGOVcPnG4",FALSE,0,NA,2022-10-31 16:05:50,TRUE,NA,"1587113626451685376",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IndiePundit",0,FALSE,FALSE,NA,NA
"Tomorrow at #HSR202 from 9am-4pm COT, @UNICEF is holding a satellite session on implementing and financing COVID-19… https://t.co/b30HHwRvTE",FALSE,0,NA,2022-10-31 16:05:29,TRUE,NA,"1587113540506341376",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","immeconomics",0,FALSE,FALSE,NA,NA
"A study published in the British Medical Journal concluded that people who are vaccinated and exercise regularly ar… https://t.co/qxA3UHCiCM",FALSE,0,NA,2022-10-31 16:04:10,TRUE,NA,"1587113207075930119",NA,"<a href=""https://contentstudio.io"" rel=""nofollow"">ContentStudio.io</a>","PedalBuddies",0,FALSE,FALSE,NA,NA
"China and India have recently approved nasal vaccines, but the U.S. won’t be following any time soon, experts say.… https://t.co/tK804jSk6P",FALSE,26,NA,2022-10-31 16:03:00,TRUE,NA,"1587112914627993605",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TIME",7,FALSE,FALSE,NA,NA
"People aged 50 and over and those with weakened immune systems are now eligible for their autumn COVID-19 booster.… https://t.co/e7r6UNCLtQ",FALSE,0,NA,2022-10-31 16:01:19,TRUE,NA,"1587112489984065537",NA,"<a href=""https://orlo.tech"" rel=""nofollow"">Orlo</a>","MSEssex_ICS",0,FALSE,FALSE,NA,NA
"If you have certain health conditions, you are more at risk this winter and will need the flu vaccine and COVID-19… https://t.co/LZ1iEIOkii",FALSE,1,NA,2022-10-31 16:00:50,TRUE,NA,"1587112367590096898",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","NHS_NCLICB",2,FALSE,FALSE,NA,NA
"🍂 Our bivalent #COVID19 booster and flu clinics in #EastToronto are continuing through November! 

💉 It is safe to… https://t.co/RrSInpgStt",FALSE,3,NA,2022-10-31 16:00:42,TRUE,NA,"1587112336040644608",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","MGHToronto",5,FALSE,FALSE,NA,NA
"COVID-19 and flu spread more easily in winter and can both cause serious illness. So, if you’re eligible, make sure… https://t.co/HZB0gn8L8L",FALSE,0,NA,2022-10-31 16:00:03,TRUE,NA,"1587112169921036298",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","boltongpfed",0,FALSE,FALSE,NA,NA
"The really scary thing this Halloween would be getting a visit from these two 🎃

Keep them away with a free Covid-1… https://t.co/QGGRgxeuyV",FALSE,0,NA,2022-10-31 16:00:02,TRUE,NA,"1587112167203082241",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HMRICP",0,FALSE,FALSE,NA,NA
"Sweet! COVID-19 boosters now protect against newer Omicron variants. Find out if you’re eligible and where to get t… https://t.co/aFPgYiyWs2",FALSE,1,NA,2022-10-31 16:00:01,TRUE,NA,"1587112163654586369",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","UtahDHHS",1,FALSE,FALSE,NA,NA
"@songbaby57 @ElvisShepherd @spoonfulneptune @elonmusk TRUTH: The intensive safety monitoring system in U.S. has mad… https://t.co/GTCWwzvCNn",FALSE,0,"songbaby57",2022-10-31 15:59:12,TRUE,"1586335043055538177","1587111956321796099","121200864","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tea59844852",0,FALSE,FALSE,NA,NA
"Why the U.S. Doesn’t Have a Nasal Vaccine For COVID-19 (T) https://t.co/6W14CSga8p",FALSE,0,NA,2022-10-31 15:58:03,FALSE,NA,"1587111668248711168",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","CandiceRose",0,FALSE,FALSE,NA,NA
"These studies admit to a difficult situation in treating what they describe as a “novel” cardiac disease caused by… https://t.co/CBnPR47A5e",FALSE,21,"JohnCunnington5",2022-10-31 15:56:34,TRUE,"1587111293936611329","1587111295815294976","1222937669535182849","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JohnCunnington5",5,FALSE,FALSE,NA,NA
